Alpha,SNP_A,SNP_B,SNP_C,SNP_D
0.506015,N2,N4,N17,M0P2
0.506015,N2,N3,N22,N30
0.506015,N2,N3,N21,N36
0.506015,N2,N23,N31,M0P2
0.506015,N2,N23,N27,M0P1
0.506015,N1,N18,M2Q1,M2Q2
0.506015,N0,N7,N11,N27
0.506015,N0,N6,N25,N36
0.506015,N0,N6,M0P1,M2Q4
0.506015,N0,N5,N31,M1T1
0.506015,N0,N11,N12,N25
0.506015,N0,N10,N24,N35
0.506015,N0,N10,N15,M2Q1
0.506014,N5,N8,N30,N31
0.506014,N5,N7,N19,M1T2
0.506014,N5,N34,N35,M2Q3
0.506014,N5,N32,M0P2,M2Q2
0.506014,N5,N27,N31,M1T1
0.506014,N5,N10,N26,N31
0.506014,N5,N10,N17,N31
0.506014,N4,N8,M2Q2,M2Q4
0.506014,N4,N26,N40,M0P1
0.506014,N4,N21,M1T3,M2Q4
0.506014,N4,N16,N19,N35
0.506014,N4,N11,N24,N26
0.506014,N4,N11,N17,M1T3
0.506014,N3,N5,N7,M1T1
0.506014,N3,N4,N6,N22
0.506014,N3,N4,N21,N34
0.506014,N2,N4,N5,M2Q3
0.506014,N2,N4,N26,M0P1
0.506014,N2,N4,N25,N31
0.506014,N2,N12,N23,N27
0.506013,N5,N9,N12,N16
0.506013,N5,N7,N8,N22
0.506013,N5,N30,N40,M2Q1
0.506013,N4,N21,N34,M2Q1
0.506013,N4,N14,N29,N38
0.506013,N4,N10,N16,N17
0.506013,N3,N6,N25,M0P2
0.506013,N3,N12,N38,M0P2
0.506013,N2,N3,N23,M2Q4
0.506013,N1,N9,N20,M2Q1
0.506013,N1,N3,N10,M2Q3
0.506013,N0,N19,N21,N36
0.506012,N5,N8,N26,M2Q4
0.506012,N5,N6,N13,N22
0.506012,N5,N27,M0P2,M2Q1
0.506012,N5,N14,N34,M1T3
0.506012,N4,N5,N18,N33
0.506012,N4,N34,M0P2,M2Q4
0.506012,N4,N23,N31,M2Q3
0.506012,N3,N9,N17,N31
0.506012,N3,N14,N35,M1T1
0.506012,N3,N12,N33,M2Q3
0.506012,N2,N5,N17,N36
0.506012,N2,N4,N8,N35
0.506012,N2,N10,N12,N19
0.506012,N1,N7,N11,N35
0.506012,N1,N18,N36,M0P1
0.506012,N0,N8,N10,N34
0.506012,N0,N25,N27,N36
0.506012,N0,N23,N39,M2Q4
0.506012,N0,N21,N23,N39
0.506012,N0,N19,N27,M0P1
0.506012,N0,N16,N27,N31
0.506011,N5,N8,N9,N39
0.506011,N5,N8,N12,M2Q1
0.506011,N5,N26,N27,N39
0.506011,N5,N20,N32,M2Q2
0.506011,N5,N13,N14,N31
0.506011,N4,N7,N24,N32
0.506011,N4,N6,N13,M1T3
0.506011,N4,N19,N38,M0P2
0.506011,N4,N17,N28,N39
0.506011,N4,N11,M0P2,M2Q2
0.506011,N3,N8,N9,N29
0.506011,N3,N8,N12,N36
0.506011,N3,N6,N23,N24
0.506011,N3,N15,N18,N23
0.506011,N1,N20,N26,N37
0.506011,N1,N12,N33,M1T1
0.506011,N1,N12,N24,M2Q1
0.506011,N0,N8,N12,N26
0.506011,N0,N3,N17,N21
0.506011,N0,N2,N27,M0P2
0.506011,N0,N1,N35,N37
0.506010,N5,N9,N16,M2Q3
0.506010,N5,N29,N34,M2Q1
0.506010,N5,N27,N29,M2Q4
0.506010,N5,N18,N33,M1T1
0.506010,N5,N12,N36,M2Q2
0.506010,N5,N11,N16,N22
0.506010,N4,N8,M1T1,M2Q4
0.506010,N4,N31,N40,M1T3
0.506010,N4,N19,N35,N40
0.506010,N4,N14,M1T3,M2Q1
0.506010,N4,N12,N24,M0P2
0.506010,N4,N10,N37,M0P1
0.506010,N3,N9,N25,N36
0.506010,N3,N12,N25,M2Q4
0.506010,N3,N12,N19,N27
0.506010,N3,N10,N11,N16
0.506010,N2,N21,N35,M2Q4
0.506010,N2,N21,N22,N24
0.506010,N1,N2,N40,M0P1
0.506010,N0,N6,N35,N38
0.506010,N0,N22,N25,N27
0.506010,N0,N1,N19,N36
0.506009,N5,N8,N33,M2Q3
0.506009,N5,N33,N35,N36
0.506009,N4,N8,N31,N39
0.506009,N4,N7,N20,N21
0.506009,N4,N32,N33,M2Q2
0.506009,N4,N21,N24,N36
0.506009,N4,N10,N13,N39
0.506009,N3,N20,N21,M2Q1
0.506009,N2,N19,N27,N34
0.506009,N1,N8,N34,M1T1
0.506009,N1,N6,N16,M0P1
0.506009,N1,N21,N31,M2Q3
0.506009,N1,N17,N33,M2Q2
0.506009,N1,N15,N18,N39
0.506009,N0,N6,N14,N39
0.506009,N0,N2,N32,M1T2
0.506009,N0,N15,N19,N40
0.506008,N4,N9,N20,N37
0.506008,N4,N6,N35,M1T2
0.506008,N3,N7,N21,N39
0.506008,N3,N5,N8,N18
0.506008,N3,N4,N31,N32
0.506008,N3,N4,N10,N35
0.506008,N3,N14,N28,M2Q1
0.506008,N3,N10,N25,M0P1
0.506008,N2,N8,N10,N29
0.506008,N2,N3,N19,N23
0.506008,N0,N5,N34,M2Q1
0.506008,N0,N2,N22,N25
0.506008,N0,N27,N33,N38
0.506008,N0,N15,N26,M2Q4
0.506008,N0,N12,N16,N38
0.506008,N0,N10,N24,M2Q3
0.506007,N5,N9,M1T1,M1T3
0.506007,N5,N7,N20,N33
0.506007,N5,N37,M0P2,M2Q4
0.506007,N5,N18,N37,N39
0.506007,N5,N17,N31,M1T1
0.506007,N5,N14,N20,N31
0.506007,N5,N13,N28,N34
0.506007,N4,N27,N29,M2Q1
0.506007,N4,N24,N28,M2Q3
0.506007,N4,N16,N29,N30
0.506007,N4,N12,N15,N22
0.506007,N3,N6,N35,N38
0.506007,N3,N4,N38,M1T2
0.506007,N3,N20,N28,N32
0.506007,N3,N17,N19,N28
0.506007,N3,N11,N26,N35
0.506007,N2,N5,N26,M1T1
0.506007,N2,N3,N4,M1T1
0.506007,N2,N3,N13,N16
0.506007,N2,N23,N34,N40
0.506007,N1,N7,N12,M2Q1
0.506007,N1,N2,N11,N27
0.506007,N1,N19,M2Q2,M2Q3
0.506007,N0,N2,N6,N13
0.506007,N0,N11,N25,N28
0.506007,N0,N11,N16,N32
0.506006,N5,N7,N20,N27
0.506006,N4,N6,N36,M1T2
0.506006,N4,N30,N36,M1T3
0.506006,N4,N14,M0P2,M1T2
0.506006,N4,N12,N16,N31
0.506006,N3,N6,N14,N15
0.506006,N2,N4,N26,M1T2
0.506006,N2,N14,N20,M1T1
0.506006,N2,N10,N16,N27
0.506006,N1,N18,N26,M2Q4
0.506006,N1,N10,M1T2,M2Q4
0.506006,N0,N8,N19,N28
0.506006,N0,N5,N15,M2Q2
0.506006,N0,N2,N5,N17
0.506005,N5,N17,N34,M1T2
0.506005,N4,N5,N19,N36
0.506005,N3,N25,N31,N35
0.506005,N3,N15,N37,M0P1
0.506005,N2,N5,N13,N40
0.506005,N1,N9,N18,N35
0.506005,N1,N4,N7,M2Q3
0.506005,N1,N3,N22,M2Q4
0.506005,N1,N2,N35,M0P1
0.506005,N1,N2,N19,N29
0.506005,N1,N24,M0P2,M1T1
0.506005,N1,N15,N20,N22
0.506005,N0,N2,N5,M2Q2
0.506005,N0,N1,N7,M2Q1
0.506004,N5,N9,N12,N17
0.506004,N4,N8,N37,M1T2
0.506004,N4,N8,N10,M1T2
0.506004,N4,N28,N34,N38
0.506004,N4,N15,N16,N35
0.506004,N3,N6,N17,N28
0.506004,N3,N4,N7,N27
0.506004,N3,N13,N18,N21
0.506004,N2,N3,N6,N8
0.506004,N2,N12,N15,N16
0.506004,N2,N11,N23,N25
0.506004,N1,N3,N11,M2Q3
0.506004,N1,N26,N34,M2Q1
0.506004,N1,N26,N31,M2Q1
0.506004,N1,N11,N31,N40
0.506004,N1,N11,N29,N36
0.506004,N0,N5,N10,M2Q2
0.506004,N0,N3,N21,M1T1
0.506004,N0,N1,N6,N24
0.506004,N0,N16,N23,N26
0.506004,N0,N15,N17,N24
0.506003,N5,N9,N30,M1T1
0.506003,N5,N7,N21,M1T3
0.506003,N5,N35,N38,M2Q3
0.506003,N5,N25,M1T3,M2Q4
0.506003,N5,N17,N29,M2Q3
0.506003,N5,N14,N20,N36
0.506003,N4,N5,N15,N31
0.506003,N4,N12,N28,M1T2
0.506003,N4,N10,N11,N39
0.506003,N3,N8,N27,N36
0.506003,N3,N6,N15,N28
0.506003,N3,N12,N25,N27
0.506003,N3,N11,N15,N23
0.506003,N2,N5,N9,N33
0.506003,N2,N23,N24,N40
0.506003,N2,N14,N15,M2Q1
0.506003,N1,N9,N18,M1T2
0.506003,N1,N6,N38,M0P1
0.506003,N1,N6,M0P2,M1T3
0.506003,N1,N3,N7,N30
0.506003,N1,N17,N36,M0P2
0.506003,N0,N1,N13,N34
0.506003,N0,N1,N10,M0P1
0.506002,N5,N9,N29,N38
0.506002,N5,N31,N33,M0P1
0.506002,N5,N21,N35,M1T3
0.506002,N5,N15,N33,N36
0.506002,N5,N11,N17,M2Q1
0.506002,N5,N10,N24,N35
0.506002,N5,M0P2,M2Q1,M2Q4
0.506002,N4,N8,N20,M2Q4
0.506002,N4,N7,N8,N20
0.506002,N4,N13,N14,M2Q4
0.506002,N3,N17,N21,N31
0.506002,N2,N16,N27,N30
0.506002,N1,N9,N20,N28
0.506002,N0,N14,N18,N19
0.506001,N5,N8,N20,N22
0.506001,N5,N14,M0P1,M2Q1
0.506001,N5,N12,N22,M1T3
0.506001,N5,N11,N20,N37
0.506001,N4,N9,N17,M0P2
0.506001,N4,N22,N25,M1T1
0.506001,N4,N18,N19,N21
0.506001,N3,N19,N21,N34
0.506001,N3,N18,N23,N32
0.506001,N3,N17,N24,N40
0.506001,N2,N7,N10,N40
0.506001,N2,N5,N18,N19
0.506001,N2,N3,N17,N38
0.506001,N2,N26,N27,N33
0.506001,N2,N11,N21,N23
0.506001,N1,N26,N36,M2Q3
0.506001,N0,N9,N30,M2Q3
0.506001,N0,N9,N21,M1T1
0.506001,N0,N5,N18,N22
0.506000,N5,N37,N39,N40
0.506000,N5,N19,N20,M2Q2
0.506000,N5,N14,N20,N30
0.506000,N5,N13,N20,N32
0.506000,N5,N11,N18,M0P1
0.506000,N4,N5,N18,M2Q2
0.506000,N4,N18,N23,N26
0.506000,N3,N4,N30,N36
0.506000,N3,N23,N33,N38
0.506000,N3,N11,N25,M2Q4
0.506000,N2,N4,N16,M0P1
0.506000,N2,N17,N23,M2Q3
0.506000,N1,N20,N27,M0P1
0.506000,N1,N13,N27,M2Q2
0.506000,N0,N9,N27,N29
0.506000,N0,N8,N18,N26
0.506000,N0,N3,N4,N22
0.506000,N0,N17,N18,N21
0.505999,N5,N7,N10,N33
0.505999,N5,N10,N31,N34
0.505999,N4,N7,N34,N40
0.505999,N4,N20,N38,M2Q4
0.505999,N4,N16,N24,M1T3
0.505999,N3,N4,N5,M0P1
0.505999,N3,N14,N24,N39
0.505999,N2,N8,N24,N27
0.505999,N2,N5,N19,N39
0.505999,N2,N12,N25,N40
0.505999,N1,N9,M0P1,M1T2
0.505999,N1,N3,N27,N37
0.505999,N1,N36,N39,M2Q3
0.505999,N1,N2,N19,N22
0.505999,N1,N22,M2Q1,M2Q4
0.505999,N1,N15,M1T3,M2Q2
0.505999,N0,N6,N18,N27
0.505999,N0,N17,N38,M0P2
0.505999,N0,N14,N15,N31
0.505998,N5,N8,N20,N29
0.505998,N5,N8,M1T3,M2Q4
0.505998,N5,N7,N23,N26
0.505998,N4,N5,N32,N36
0.505998,N4,N31,N36,M0P1
0.505998,N4,N22,N30,M2Q3
0.505998,N4,N12,M2Q2,M2Q3
0.505998,N3,N8,N11,N13
0.505998,N3,N35,N38,M0P2
0.505998,N3,N27,N36,M0P1
0.505998,N3,N24,N25,M1T2
0.505998,N3,N21,N23,M1T3
0.505998,N2,N9,N25,N38
0.505998,N2,N8,N40,M2Q1
0.505998,N2,N4,N5,N35
0.505998,N2,N18,N19,N21
0.505998,N2,N17,N33,N39
0.505998,N2,N15,N23,N37
0.505998,N2,N11,N14,N26
0.505998,N1,N7,N19,M2Q3
0.505998,N1,N32,N33,M1T3
0.505998,N1,N11,N35,M0P2
0.505998,N1,N10,N39,M1T3
0.505998,N0,N9,N15,M2Q4
0.505998,N0,N30,N32,N40
0.505998,N0,N15,N30,N38
0.505998,N0,N14,N31,N40
0.505997,N5,N11,N17,M0P1
0.505997,N3,N9,N19,N21
0.505997,N3,N7,N28,M0P2
0.505997,N3,N21,N35,M2Q4
0.505997,N3,N14,N34,M0P2
0.505997,N2,N9,N16,N17
0.505997,N2,N6,N9,N16
0.505997,N2,N10,N21,N31
0.505997,N1,N13,N33,N34
0.505997,N0,N9,N15,N30
0.505997,N0,N3,N12,N17
0.505996,N5,N9,N14,M1T3
0.505996,N5,N7,N18,M2Q1
0.505996,N5,N32,N34,M2Q3
0.505996,N5,N12,N33,N36
0.505996,N5,N12,N13,M2Q2
0.505996,N4,N27,N32,N36
0.505996,N4,N16,N24,N28
0.505996,N4,N13,N24,M1T1
0.505996,N4,N10,N17,M1T1
0.505996,N3,N4,N13,N16
0.505996,N3,N13,N15,N38
0.505996,N3,N11,N20,N23
0.505996,N2,N8,N17,N29
0.505996,N2,N6,N17,M2Q3
0.505996,N2,N5,N22,N39
0.505996,N2,N15,N29,N34
0.505996,N0,N27,N34,M0P1
0.505996,N0,N27,N28,N38
0.505996,N0,N25,N31,M2Q2
0.505996,N0,N19,N28,N40
0.505996,N0,N15,N22,M0P2
0.505995,N5,N8,N30,N36
0.505995,N5,N21,N31,M2Q1
0.505995,N5,N16,N18,N36
0.505995,N4,N6,N23,N29
0.505995,N4,N16,N29,M2Q2
0.505995,N4,N14,N28,M1T3
0.505995,N4,N10,N26,N37
0.505995,N3,N17,M0P1,M2Q4
0.505995,N3,N16,N28,M2Q4
0.505995,N3,N13,N16,N23
0.505995,N2,N3,N5,N9
0.505995,N2,N3,N32,N33
0.505995,N2,N32,M1T2,M2Q4
0.505995,N1,N7,N23,N31
0.505995,N1,N35,N38,M1T3
0.505995,N1,N25,N31,M2Q3
0.505995,N1,N18,N38,N39
0.505995,N1,N12,N40,M1T1
0.505995,N1,N11,N34,M2Q2
0.505995,N1,N10,N33,N35
0.505995,N0,N8,N20,M1T2
0.505995,N0,N7,N16,N24
0.505995,N0,N4,N10,N20
0.505995,N0,N23,N29,M0P1
0.505995,N0,N21,N37,M2Q1
0.505995,N0,N17,N25,M2Q3
0.505994,N5,N16,N20,N29
0.505994,N5,N15,N20,N34
0.505994,N4,N7,N33,N40
0.505994,N4,N35,N38,N39
0.505994,N3,N16,N35,M0P2
0.505994,N3,N13,N14,N16
0.505994,N2,N8,N19,M1T3
0.505994,N2,N20,N23,N38
0.505994,N2,N14,N15,M1T2
0.505994,N1,N7,N12,N16
0.505994,N1,N6,N22,M2Q1
0.505994,N0,N4,N29,M2Q3
0.505994,N0,N16,N23,N36
0.505993,N5,N36,M1T2,M2Q4
0.505993,N5,N31,N33,N39
0.505993,N5,N15,N18,M2Q3
0.505993,N4,N6,N10,M2Q4
0.505993,N4,N10,N30,M1T3
0.505993,N3,N4,N14,N26
0.505993,N3,N23,N34,N40
0.505993,N3,N15,N23,M2Q3
0.505993,N3,N10,N21,M2Q2
0.505993,N2,N7,N25,N29
0.505993,N2,N7,N15,N19
0.505993,N2,N4,N23,M1T3
0.505993,N2,N25,N28,M2Q1
0.505993,N2,N21,N27,M2Q2
0.505993,N2,N13,N16,N29
0.505993,N1,N9,N26,N31
0.505993,N1,N6,N31,N32
0.505993,N1,N11,N31,M2Q1
0.505993,N1,N10,N11,N39
0.505993,N0,N6,N35,M0P2
0.505993,N0,N2,N8,N34
0.505993,N0,N18,N19,N32
0.505993,N0,N15,N20,M2Q1
0.505992,N5,N32,N39,M0P1
0.505992,N5,N19,N33,N36
0.505992,N5,N19,M1T1,M1T3
0.505992,N4,N8,N18,N39
0.505992,N4,N27,M0P1,M2Q4
0.505992,N4,N18,N27,N32
0.505992,N3,N8,N26,N36
0.505992,N3,N11,N32,M2Q4
0.505992,N2,N5,N33,M2Q4
0.505992,N2,N19,N32,M0P1
0.505992,N1,N5,M2Q2,M2Q3
0.505992,N1,N3,N18,M2Q1
0.505992,N1,N2,N29,N35
0.505992,N1,N28,N37,M2Q3
0.505992,N1,N20,N36,N39
0.505992,N1,N10,N11,N36
0.505992,N0,N5,N9,N29
0.505992,N0,N3,N30,N40
0.505991,N5,N7,N25,M1T3
0.505991,N5,N6,N26,N30
0.505991,N5,N24,N40,M2Q2
0.505991,N5,N10,N22,M0P2
0.505991,N4,N9,N31,N34
0.505991,N4,N8,N15,N28
0.505991,N4,N26,N27,N31
0.505991,N4,N23,N28,N30
0.505991,N4,N20,N30,M2Q4
0.505991,N4,N12,N18,M2Q3
0.505991,N3,N4,N8,N40
0.505991,N2,N9,N17,N19
0.505991,N2,N8,N23,M1T2
0.505991,N2,N10,N11,N32
0.505991,N1,N6,M0P2,M1T2
0.505991,N1,N29,N34,M1T1
0.505991,N0,N4,N15,N34
0.505991,N0,N12,N22,N38
0.505990,N5,N24,N33,M2Q3
0.505990,N3,N16,N25,M1T2
0.505990,N3,N14,N39,M0P2
0.505990,N2,N5,N10,N20
0.505990,N2,N28,N30,N40
0.505990,N2,N21,N35,M1T1
0.505990,N1,N9,N33,M2Q1
0.505990,N1,N9,N24,M2Q2
0.505990,N1,N29,N36,M1T1
0.505990,N1,N26,N32,M1T3
0.505990,N1,N16,N34,M2Q1
0.505990,N1,N13,N18,N39
0.505990,N0,N6,N8,M1T1
0.505989,N5,N40,M0P1,M2Q2
0.505989,N5,N18,M0P2,M2Q1
0.505989,N5,N17,M1T2,M2Q4
0.505989,N5,N12,N20,N32
0.505989,N5,N12,N17,M1T3
0.505989,N5,N10,N24,N33
0.505989,N4,N20,N33,N36
0.505989,N4,N10,N13,M0P2
0.505989,N1,N9,N27,M2Q1
0.505989,N1,N33,M1T1,M2Q1
0.505989,N1,N18,N37,N40
0.505989,N1,N10,N33,M1T1
0.505989,N0,N11,N33,M1T2
0.505988,N5,N7,N28,N31
0.505988,N5,N6,N10,M1T1
0.505988,N5,N34,M0P2,M2Q1
0.505988,N5,N25,N39,M1T3
0.505988,N5,N24,N35,M1T2
0.505988,N5,N13,N29,N34
0.505988,N5,N11,M1T2,M2Q3
0.505988,N4,N7,N8,M0P2
0.505988,N4,N22,N25,M1T2
0.505988,N4,N17,N31,N32
0.505988,N4,N15,N23,N31
0.505988,N3,N20,N21,N27
0.505988,N1,N9,N36,N40
0.505988,N1,N7,N16,N36
0.505988,N1,N33,N34,M2Q1
0.505988,N1,N2,N6,M2Q1
0.505988,N1,N2,N40,M2Q2
0.505988,N1,N26,N29,N35
0.505988,N1,N24,N30,N39
0.505988,N1,N13,N24,N34
0.505988,N0,N7,N21,M2Q4
0.505988,N0,N4,N15,N37
0.505988,N0,N2,N5,N12
0.505988,N0,N14,N23,M1T3
0.505987,N5,N20,N22,N23
0.505987,N5,N10,N17,M0P1
0.505987,N4,N6,N39,M2Q4
0.505987,N4,N36,N38,M0P2
0.505987,N4,N16,N30,N31
0.505987,N4,N10,N11,N38
0.505987,N3,N6,N28,N33
0.505987,N2,N29,N32,N39
0.505987,N2,N19,N22,N23
0.505987,N2,N16,N27,N38
0.505986,N5,N9,N18,N22
0.505986,N5,N7,N9,N30
0.505986,N5,N20,N37,N38
0.505986,N5,N12,N38,M0P1
0.505986,N4,N9,N22,N24
0.505986,N4,N33,N34,N38
0.505986,N4,N23,N37,M0P2
0.505986,N4,N21,M1T2,M2Q3
0.505986,N4,N15,M2Q1,M2Q4
0.505986,N4,N13,N36,N38
0.505986,N4,N13,N26,N31
0.505986,N4,N10,N24,M2Q1
0.505986,N3,N6,N16,N40
0.505986,N3,N4,N21,M2Q1
0.505986,N3,N20,N27,N38
0.505986,N2,N12,N17,N23
0.505986,N2,N11,N14,N32
0.505986,N1,N9,N22,N35
0.505986,N1,N8,N18,M0P2
0.505986,N1,N7,M2Q1,M2Q4
0.505986,N1,N20,N31,M2Q4
0.505986,N1,N17,N18,M2Q2
0.505986,N1,N16,M2Q1,M2Q2
0.505986,N0,N4,N32,M1T3
0.505986,N0,N3,N4,N24
0.505986,N0,N3,N4,N16
0.505986,N0,N1,N2,M2Q3
0.505986,N0,N14,M0P2,M1T2
0.505986,N0,N13,N14,N15
0.505985,N5,N11,N25,N36
0.505985,N5,N11,N14,M1T3
0.505985,N5,N10,N11,M2Q3
0.505985,N4,N6,N34,M0P1
0.505985,N4,N32,N37,N40
0.505985,N4,N32,M0P1,M2Q2
0.505985,N4,N25,N29,N31
0.505985,N4,N16,N24,M0P2
0.505985,N4,N13,N24,N30
0.505985,N4,N13,N19,N23
0.505985,N4,N10,N38,M2Q2
0.505985,N3,N5,M0P2,M2Q2
0.505985,N3,N27,N34,M1T1
0.505985,N3,N18,N21,N23
0.505985,N2,N25,N33,M2Q3
0.505985,N2,N19,N23,M2Q4
0.505985,N2,N16,N29,N34
0.505985,N1,N36,N40,M2Q2
0.505985,N1,N33,M2Q1,M2Q2
0.505985,N1,N13,N16,M2Q3
0.505985,N1,N13,M1T3,M2Q1
0.505985,N1,N10,N11,M1T2
0.505985,N0,N5,N37,M0P1
0.505985,N0,N4,N40,M2Q1
0.505985,N0,N27,N34,M1T2
0.505985,N0,N23,N26,N32
0.505985,N0,N21,N37,M1T2
0.505985,N0,N1,N35,M1T2
0.505984,N5,N33,N40,M2Q2
0.505984,N5,N18,N34,N36
0.505984,N5,N16,N36,N40
0.505984,N5,N14,N22,M1T3
0.505984,N5,N12,N13,M2Q1
0.505984,N5,N12,N13,M1T3
0.505984,N4,N6,N7,M2Q4
0.505984,N4,N5,N9,M2Q1
0.505984,N4,N5,N16,N30
0.505984,N4,N17,N22,M2Q4
0.505984,N3,N14,N32,N37
0.505984,N2,N8,N30,M0P1
0.505984,N2,N5,N35,M2Q1
0.505984,N2,N5,N30,N37
0.505984,N2,N15,N17,N18
0.505984,N1,N7,N18,N19
0.505984,N1,N31,N34,N35
0.505984,N0,N7,N16,N32
0.505984,N0,N22,N23,N32
0.505984,N0,N11,N25,N29
0.505983,N5,N8,N26,M1T3
0.505983,N5,N6,N10,N13
0.505983,N5,N33,N39,N40
0.505983,N5,N32,M2Q3,M2Q4
0.505983,N5,N25,N30,M1T3
0.505983,N5,N22,N38,M1T3
0.505983,N5,N22,N33,M2Q2
0.505983,N5,N20,M0P2,M2Q3
0.505983,N5,N19,N26,N36
0.505983,N4,N5,N13,N18
0.505983,N4,N36,N38,M1T1
0.505983,N4,N15,N34,N39
0.505983,N4,N12,N13,N36
0.505983,N4,N11,M0P1,M1T3
0.505983,N4,N10,N15,N40
0.505983,N3,N7,N32,M1T1
0.505983,N3,N13,N19,N23
0.505983,N2,N7,N10,N16
0.505983,N1,N22,N27,N34
0.505983,N0,N9,N37,M2Q4
0.505983,N0,N6,N8,N20
0.505983,N0,N5,N26,N36
0.505983,N0,N4,N17,M2Q4
0.505983,N0,N3,N15,N22
0.505983,N0,N2,N16,N30
0.505983,N0,N1,N12,N34
0.505982,N5,N7,N34,N37
0.505982,N5,N7,M1T1,M2Q2
0.505982,N4,N8,N34,N36
0.505982,N4,N19,N38,M2Q3
0.505982,N4,N15,N39,M2Q2
0.505982,N4,N13,N26,N30
0.505982,N3,N21,N23,N31
0.505982,N3,N13,N23,N28
0.505982,N3,N12,N19,N36
0.505982,N3,N10,N15,N24
0.505982,N2,N5,N19,M1T3
0.505982,N2,N5,N17,N37
0.505982,N2,N32,N37,M2Q4
0.505982,N2,N17,N18,N34
0.505982,N2,N16,N19,N32
0.505982,N2,N15,N38,M1T1
0.505982,N1,N19,N39,M2Q3
0.505982,N1,N19,M2Q1,M2Q2
0.505982,N0,N4,N40,M0P2
0.505982,N0,N2,N39,M0P2
0.505981,N5,N26,N36,N38
0.505981,N5,N22,N37,M1T1
0.505981,N4,N25,N34,N35
0.505981,N4,N24,N28,N34
0.505981,N4,N21,N26,M0P2
0.505981,N4,N21,M1T1,M2Q4
0.505981,N4,N14,M2Q2,M2Q3
0.505981,N4,N13,N30,M2Q1
0.505981,N3,N5,N23,N29
0.505981,N3,N5,N15,M1T1
0.505981,N3,N24,N28,N38
0.505981,N3,N19,N27,N33
0.505981,N3,N16,N28,M0P1
0.505981,N2,N7,N8,M1T1
0.505981,N2,N6,N20,N21
0.505981,N2,N6,N16,N33
0.505981,N1,N6,N29,N30
0.505981,N1,N2,N7,N22
0.505981,N1,N12,M2Q2,M2Q3
0.505981,N0,N23,M0P2,M1T1
0.505981,N0,N16,N24,N35
0.505980,N5,N16,N37,M1T2
0.505980,N5,N12,M0P2,M1T1
0.505980,N4,N7,N10,N33
0.505980,N4,N6,N23,N35
0.505980,N4,N27,N32,M2Q4
0.505980,N4,N17,N34,N40
0.505980,N3,N16,N31,N32
0.505980,N2,N9,N10,N25
0.505980,N2,N4,N27,M2Q3
0.505980,N2,N14,N20,M2Q3
0.505980,N2,N13,N17,N39
0.505980,N1,N11,N31,N33
0.505980,N1,N10,N37,M1T2
0.505980,N0,N9,N25,N26
0.505980,N0,N8,N9,N24
0.505980,N0,N5,N10,M2Q3
0.505980,N0,N20,N27,M1T2
0.505980,N0,N15,N23,N28
0.505980,N0,N10,N18,N27
0.505979,N5,N9,N17,M2Q2
0.505979,N5,N36,N39,M2Q4
0.505979,N5,N28,M2Q1,M2Q2
0.505979,N5,N17,N29,N35
0.505979,N5,N11,N35,N37
0.505979,N4,N9,N16,N29
0.505979,N4,N7,N13,N38
0.505979,N4,N32,N40,M1T2
0.505979,N4,N24,N26,M2Q2
0.505979,N4,N22,N31,N40
0.505979,N4,N19,N30,N35
0.505979,N3,N22,N25,M0P1
0.505979,N3,N14,N22,M2Q1
0.505979,N3,N12,N23,N40
0.505979,N2,N5,N11,N23
0.505979,N2,N24,N27,N38
0.505979,N1,N2,N29,M1T2
0.505979,N0,N18,N21,N29
0.505979,N0,N11,N33,N38
0.505978,N5,N9,N12,M0P2
0.505978,N5,N9,N11,N22
0.505978,N5,N38,N39,M1T2
0.505978,N5,N17,N36,M2Q1
0.505978,N4,N6,N29,M2Q2
0.505978,N4,N6,M0P2,M2Q2
0.505978,N4,N12,N23,N37
0.505978,N4,N11,N38,M0P2
0.505978,N4,N10,N16,N40
0.505978,N3,N8,N24,N33
0.505978,N3,N4,N21,M1T1
0.505978,N1,N6,N39,M2Q1
0.505978,N1,N18,N25,N37
0.505978,N1,N12,N37,M2Q2
0.505978,N0,N21,N27,M1T3
0.505977,N5,N9,M1T3,M2Q3
0.505977,N5,N8,N36,M2Q3
0.505977,N5,N31,N35,N40
0.505977,N5,N27,N37,M1T1
0.505977,N5,N15,N30,N31
0.505977,N4,N18,N25,N36
0.505977,N4,N17,M1T2,M1T3
0.505977,N3,N4,N27,M2Q4
0.505977,N3,N4,N13,N37
0.505977,N2,N25,N26,M0P1
0.505977,N2,N11,N17,N32
0.505977,N1,N4,N7,N18
0.505977,N1,N2,N13,N36
0.505977,N1,N2,M0P2,M2Q1
0.505977,N1,N10,N15,N22
0.505976,N5,N6,N10,N37
0.505976,N5,N17,N35,M0P1
0.505976,N5,N15,N18,M0P2
0.505976,N5,N10,N16,M2Q2
0.505976,N4,N7,N9,N28
0.505976,N4,N30,N38,M2Q1
0.505976,N4,N27,N28,N35
0.505976,N4,N23,N36,N37
0.505976,N4,N15,N19,M0P2
0.505976,N4,N14,N26,N34
0.505976,N3,N9,N28,N32
0.505976,N3,N24,N28,N30
0.505976,N3,N20,N21,N32
0.505976,N3,N13,N26,N33
0.505976,N2,N4,N19,N33
0.505976,N2,N25,N37,N39
0.505976,N2,N20,N23,N27
0.505976,N2,N14,N40,M1T1
0.505976,N2,N14,N21,M1T3
