Alpha,SNP_A,SNP_B,SNP_C,SNP_D
0.515849,N1,N17,M0P1,M0P2
0.515825,N0,N6,N31,M1T3
0.515722,N1,N30,M0P1,M0P2
0.515670,N1,N9,M0P1,M0P2
0.515658,N1,N3,M0P1,M0P2
0.515645,N5,N13,M0P1,M0P2
0.515608,N1,N11,M0P1,M0P2
0.515599,N1,N25,M0P1,M0P2
0.515505,N1,N7,M0P1,M0P2
0.515456,N0,N6,N18,M1T3
0.515367,N1,N40,M0P1,M0P2
0.515350,N1,N13,M0P1,M0P2
0.515343,N1,N16,M0P1,M0P2
0.515334,N1,N33,M0P1,M0P2
0.515327,N5,N21,M0P1,M0P2
0.515203,N5,N12,M0P1,M0P2
0.515074,N5,N23,M0P1,M0P2
0.515061,N5,N14,M0P1,M0P2
0.514924,N1,N27,M0P1,M0P2
0.514823,N2,N12,N24,M1T1
0.514759,N1,N12,M0P1,M0P2
0.514719,N1,N21,M0P1,M0P2
0.514627,N0,N18,N20,N34
0.514551,N0,N31,M1T3,M2Q1
0.514490,N2,N31,N33,M1T3
0.514451,N0,N36,M1T2,M2Q2
0.514342,N1,N5,M0P1,M0P2
0.514276,N0,N40,M1T2,M2Q2
0.514264,N3,N6,N34,M2Q2
0.514246,N0,N31,M1T3,M2Q3
0.514219,N1,N14,M0P1,M0P2
0.514175,N2,M0P1,M2Q3,M2Q4
0.514084,N2,N31,M1T3,M2Q3
0.514080,N3,N33,M1T2,M1T3
0.514041,N0,N31,M1T2,M1T3
0.514036,N1,N23,M0P1,M0P2
0.513954,N0,N20,N34,M1T3
0.513948,N2,N9,N12,M1T1
0.513934,N0,N28,N36,M2Q3
0.513882,N3,N29,N37,M2Q1
0.513808,N2,N24,N31,M1T3
0.513779,N2,N9,N12,M2Q1
0.513771,N2,M0P1,M1T2,M2Q2
0.513762,N2,N26,M0P1,M2Q1
0.513756,N2,N20,N22,M0P2
0.513753,N3,N22,N26,M1T3
0.513743,N2,N9,N11,N12
0.513655,N2,N24,N36,M1T1
0.513654,N0,N9,N12,N20
0.513607,N3,N16,M1T2,M1T3
0.513586,N2,N16,M1T2,M2Q2
0.513574,N2,N11,N22,N24
0.513573,N0,M1T3,M2Q3,M2Q4
0.513562,N3,N39,N40,M1T3
0.513541,N2,N38,M0P1,M2Q3
0.513521,N2,N7,N36,M2Q1
0.513514,N3,N22,M1T2,M1T3
0.513509,N2,N18,N33,M1T3
0.513504,N2,N38,M0P1,M2Q1
0.513491,N2,N24,N31,N37
0.513461,N2,N34,M0P1,M2Q3
0.513449,N0,N24,N31,M1T3
0.513421,N2,N11,N20,N22
0.513373,N0,N12,N20,N34
0.513367,N2,M1T1,M1T2,M2Q2
0.513349,N2,N7,N31,M2Q3
0.513347,N0,N18,N31,M1T3
0.513326,N2,N12,N33,M1T1
0.513314,N3,N31,M1T1,M1T3
0.513303,N0,N26,N39,M1T3
0.513299,N2,N11,N22,M0P2
0.513294,N2,N31,N37,M2Q4
0.513293,N2,N28,M0P1,M2Q3
0.513285,N0,N31,N33,M1T3
0.513284,N2,N33,N36,N37
0.513275,N2,N36,M2Q3,M2Q4
0.513272,N0,N34,N37,M1T3
0.513267,N3,N22,N29,M1T1
0.513258,N2,N12,M0P1,M1T3
0.513254,N0,N6,N26,M1T3
0.513237,N3,N37,M1T2,M2Q1
0.513231,N3,N24,N31,M1T3
0.513223,N3,N9,N20,N39
0.513218,N3,N31,M1T3,M2Q3
0.513217,N2,M1T2,M2Q1,M2Q2
0.513207,N2,N33,M1T2,M2Q2
0.513199,N2,N28,N39,M1T2
0.513189,N2,N33,N37,M1T3
0.513188,N3,N22,M0P2,M1T3
0.513187,N2,N24,N34,M2Q3
0.513173,N3,N18,M1T2,M1T3
0.513147,N3,N31,M1T2,M1T3
0.513144,N0,N9,N33,M1T3
0.513142,N0,N13,N22,M1T3
0.513111,N2,N29,M2Q2,M2Q3
0.513099,N3,N33,M1T2,M2Q2
0.513089,N3,N18,M1T3,M2Q4
0.513087,N2,N31,M0P1,M2Q2
0.513084,N3,N33,M1T3,M2Q2
0.513076,N2,N36,M1T1,M2Q3
0.513073,N3,N33,M1T3,M2Q3
0.513061,N0,N34,N36,M1T3
0.513058,N0,M1T2,M1T3,M2Q2
0.513053,N3,N33,M1T1,M1T3
0.513053,N3,M1T2,M1T3,M2Q2
0.513051,N3,N18,N34,M1T3
0.513045,N0,N18,N35,M1T3
0.513037,N0,N24,N34,M1T3
0.513029,N2,N20,N22,N34
0.513028,N3,N31,N33,M1T3
0.513025,N2,N14,N31,M1T3
0.513022,N2,N12,M0P1,M2Q1
0.513017,N3,N18,N31,M1T3
0.513006,N3,N22,N36,M1T3
0.513006,N0,N7,N18,M1T3
